☆ Gendrome - MHXX Low Rank	
Item			Qty	Prob.	How to obtain
Gendrome Hide		1	30%	Body Carve
Gendrome Fang		1	33%	Body Carve
Paralysis Sac		1	35%	Body Carve
Gendrome Head		1	2%	Body Carve
Wyvern Tear		1	75%	Shiny Drops
Gendrome Fang		1	25%	Shiny Drops
Gendrome Hide		1	56%	Capture
Paralysis Sac		2	39%	Capture
Gendrome Head		1	5%	Capture
Gendrome Hide		1	40%	Wound Head
Paralysis Sac		1	50%	Wound Head
Gendrome Head		1	10%	Wound Head

☆ Gendrome - MHXX High Rank	
Item	Qty	Prob.	How to obtain
Gendrome Hide+	1	27%	Body Carve
Gendrome Fang+	1	33%	Body Carve
Gendrome Fang	1	8%	Body Carve
Gendrome Head	1	7%	Body Carve
Omniplegia Sac	1	20%	Body Carve
Bird Wyvern Gem	1	5%	Body Carve
Wyvern Tear	1	50%	Shiny Drops
Large Wyvern Tear	1	25%	Shiny Drops
Bird Wyvern Gem	1	2%	Shiny Drops
Gendrome Fang+	1	23%	Shiny Drops
Gendrome Hide+	1	50%	Capture
Gendrome Hide	2	8%	Capture
Omniplegia Sac	2	27%	Capture
Gendrome Head	1	12%	Capture
Bird Wyvern Gem	1	3%	Capture
Omniplegia Sac	1	35%	Wound Head
Omniplegia Sac	2	40%	Wound Head
Gendrome Head	1	15%	Wound Head
Bird Wyvern Gem	1	10%	Wound Head

☆ Gendrome - MHXX G Rank	
Item			Qty	Prob.	How to obtain
Gendrome Piel		1	25%	Body Carve
Gendrome Hardfang	1	30%	Body Carve
Gendrome Fang+		1	8%	Body Carve
Gendrome Head		1	7%	Body Carve
Ultraplegia Sac		1	20%	Body Carve
Fey Wyvern Gem		1	5%	Body Carve
Bird Wyvern Gem		1	5%	Body Carve
Large Wyvern Tear	1	73%	Shiny Drops
Fey Wyvern Gem		1	2%	Shiny Drops
Bird Wyvern Gem		1	2%	Shiny Drops
Gendrome Hardfang	1	23%	Shiny Drops
Gendrome Piel		1	47%	Capture
Gendrome Hide+		2	8%	Capture
Ultraplegia Sac		2	27%	Capture
Gendrome Head		1	12%	Capture
Fey Wyvern Gem		1	3%	Capture
Bird Wyvern Gem		1	3%	Capture
Ultraplegia Sac		1	25%	Wound Head
Ultraplegia Sac		2	40%	Wound Head
Gendrome Head		1	15%	Wound Head
Fey Wyvern Gem		1	10%	Wound Head
Bird Wyvern Gem		1	10%	Wound Head
