☆ Velocidrome - MHXX Low Rank	
Item			Qty	Prob.	How to obtain
Velociprey Scale	1	15%	Body Carve
Velocidrome Hide	1	30%	Body Carve
Velocidrome Claw	1	53%	Body Carve
Velocidrome Head	1	2%	Body Carve
Wyvern Tear		1	75%	Shiny Drops
Velocidrome Claw	1	25%	Shiny Drops
Velocidrome Hide	1	56%	Capture
Screamer Sac		2	39%	Capture
Velocidrome Head	1	5%	Capture
Velocidrome Hide	1	40%	Wound Head
Screamer Sac		1	50%	Wound Head
Velocidrome Head	1	10%	Wound Head

☆ Velocidrome - MHXX High Rank	
Item			Qty	Prob.	How to obtain
Velociprey Scale+	1	10%	Body Carve
Velocidrome Hide+	1	25%	Body Carve
Velocidrome Claw+	1	45%	Body Carve
Velocidrome Claw	1	8%	Body Carve
Velocidrome Head	1	7%	Body Carve
Bird Wyvern Gem		1	5%	Body Carve
Wyvern Tear		1	50%	Shiny Drops
Large Wyvern Tear	1	25%	Shiny Drops
Bird Wyvern Gem		1	2%	Shiny Drops
Velocidrome Claw+	1	23%	Shiny Drops
Velocidrome Hide+	1	50%	Capture
Velocidrome Hide	2	8%	Capture
Screamer Sac		2	27%	Capture
Velocidrome Head	1	12%	Capture
Bird Wyvern Gem		1	3%	Capture
Velocidrome Hide+	1	30%	Wound Head
Screamer Sac		2	45%	Wound Head
Velocidrome Head	1	15%	Wound Head
Bird Wyvern Gem		1	10%	Wound Head

☆ Velocidrome - MHXX G Rank	
Item			Qty	Prob.	How to obtain
Velociprey Shard	1	10%	Body Carve
Velocidrome Piel	1	20%	Body Carve
Velocidrome Talon	1	45%	Body Carve
Velocidrome Claw+	1	6%	Body Carve
Velocidrome Head	1	7%	Body Carve
Fey Wyvern Gem		1	5%	Body Carve
Bird Wyvern Gem		1	7%	Body Carve
Large Wyvern Tear	1	72%	Shiny Drops
Fey Wyvern Gem		1	2%	Shiny Drops
Bird Wyvern Gem		1	3%	Shiny Drops
Velocidrome Talon	1	23%	Shiny Drops
Velocidrome Piel	1	50%	Capture
Velocidrome Hide+	2	8%	Capture
Screamer Sac		2	22%	Capture
Velocidrome Head	1	12%	Capture
Fey Wyvern Gem		1	3%	Capture
Bird Wyvern Gem		1	5%	Capture
Velocidrome Piel	1	30%	Wound Head
Screamer Sac		2	33%	Wound Head
Velocidrome Head	1	15%	Wound Head
Fey Wyvern Gem		1	10%	Wound Head
Bird Wyvern Gem		1	12%	Wound Head
