☆ Duramboros - MHXX High Rank	
Item			Qty	Prob.	How to obtain
Duram Carapace		1	46%	Body Carve
Hard Mossplate		1	40%	Body Carve
Duramboros Hump		1	10%	Body Carve
Duram Sacrum		1	4%	Body Carve
Duram Tailcase+		1	81%	Tail Carve
Duram Carapace		1	16%	Tail Carve
Duram Sacrum		1	3%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Hard Mossplate		1	20%	Shiny Drops
Duramboros Hump		1	5%	Shiny Drops
Duram Tailcase+		1	78%	Mining Tail
Duram Carapace		1	16%	Mining Tail
Duram Sacrum		1	6%	Mining Tail
Duram Carapace		1	20%	Capture
Hard Mossplate		1	40%	Capture
Duramboros Hump		1	24%	Capture
Duramboros Horn+	1	10%	Capture
Duram Sacrum		1	6%	Capture
Duramboros Horn+	1	75%	Wound Head
Duram Carapace		1	25%	Wound Head
Duramboros Hump		1	60%	Wound Hump
Duram Carapace		1	13%	Wound Hump
Hard Mossplate		1	27%	Wound Hump

☆ Duramboros - MHXX G Rank	
Item			Qty	Prob.	How to obtain
Duramboros Cortex	1	37%	Body Carve
Duram Carapace		1	10%	Body Carve
Heavy Mossplate		1	36%	Body Carve
Marbled Hump		1	8%	Body Carve
Durambolite		1	4%	Body Carve
Duram Sacrum		1	5%	Body Carve
Duram Hardtail		1	70%	Tail Carve
Duram Tailcase+		1	8%	Tail Carve
Duramboros Cortex	1	15%	Tail Carve
Durambolite		1	3%	Tail Carve
Duram Sacrum		1	4%	Tail Carve
Large Wyvern Tear	1	75%	Shiny Drops
Heavy Mossplate		1	20%	Shiny Drops
Marbled Hump		1	5%	Shiny Drops
Duram Hardtail		1	75%	Mining Tail
Duramboros Cortex	1	16%	Mining Tail
Durambolite		1	6%	Mining Tail
Duram Sacrum		1	3%	Mining Tail
Duramboros Cortex	1	18%	Capture
Heavy Mossplate		1	32%	Capture
Hard Mossplate		2	6%	Capture
Marbled Hump		1	22%	Capture
Duramboros Hardhorn	1	10%	Capture
Durambolite		1	6%	Capture
Duram Sacrum		1	6%	Capture
Duramboros Hardhorn	1	75%	Wound Head
Duramboros Horn+	1	5%	Wound Head
Duramboros Cortex	1	20%	Wound Head
Marbled Hump		1	55%	Wound Hump
Duramboros Hump		2	10%	Wound Hump
Duramboros Cortex	1	11%	Wound Hump
Heavy Mossplate		1	24%	Wound Hump
