☆ Hellblade Glavenus - MHXX Lv 1~4
Item			Qty	Prob.	How to obtain
Hellblade Scale		1	40%	Body Carve
Hellblade Shell		1	16%	Body Carve
Glavenus Pyroshell+	1	15%	Body Carve
Glavenus Fang+		1	20%	Body Carve
Glavenus Fire Orb	1	3%	Body Carve
Glavenus Plate		1	6%	Body Carve
Glavenus Tail		1	76%	Tail Carve
Glavenus Tailpiece	1	20%	Tail Carve
Glavenus Fire Orb	1	4%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Hellblade Powder	1	18%	Shiny Drops
Glavenus Fire Orb	1	2%	Shiny Drops
Glavenus Plate		1	5%	Shiny Drops
Hellblade Shell		1	20%	Capture
Glavenus Pyroshell+	1	28%	Capture
Glavenus Tail		1	12%	Capture
Glavenus Tailpiece	4	8%	Capture
Solar Bursa		1	22%	Capture
Flaming Bursa		2	10%	Capture
Glavenus Fang+		1	45%	Wound Head
Glavenus Fang		2	10%	Wound Head
Glavenus Pyroshell+	1	13%	Wound Head
Solar Bursa		1	30%	Wound Head
Glavenus Fire Orb	1	2%	Wound Head
Glavenus Pyroshell+	1	65%	Wound Back
Glavenus Pyroshell	2	15%	Wound Back
Hellblade Shell		1	20%	Wound Back
Hellblade Scale		1	70%	Wound Front Leg
Hellblade Shell		1	30%	Wound Front Leg
Glavenus Tailpiece	4	10%	Wound Tail
Glavenus Tailpiece	2	45%	Wound Tail
Glavenus Pyroshell+	1	30%	Wound Tail
Hellblade Scale		1	15%	Wound Tail

☆ Hellblade Glavenus - MHXX Lv 5~8
Item			Qty	Prob.	How to obtain
Hellblade Scale+	1	18%	Body Carve
Hellblade Scale		1	22%	Body Carve
Hellblade Carapace	1	6%	Body Carve
Hellblade Shell		1	10%	Body Carve
Glavenus Pyroshell+	1	15%	Body Carve
Glavenus Fang+		1	19%	Body Carve
Glavenus Fire Orb	1	4%	Body Carve
Glavenus Plate		1	6%	Body Carve
Glavenus Tail		1	76%	Tail Carve
Glavenus Tailpiece	1	20%	Tail Carve
Glavenus Fire Orb	1	4%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Hellblade Powder	1	18%	Shiny Drops
Glavenus Fire Orb	1	2%	Shiny Drops
Glavenus Plate		1	5%	Shiny Drops
Hellblade Carapace	1	8%	Capture
Hellblade Shell		1	12%	Capture
Glavenus Pyroshell+	1	28%	Capture
Glavenus Tail		1	12%	Capture
Glavenus Tailpiece	4	8%	Capture
Solar Bursa		1	22%	Capture
Flaming Bursa		2	10%	Capture
Glavenus Fang+		1	50%	Wound Head
Glavenus Pyroshell+	1	16%	Wound Head
Solar Bursa		1	30%	Wound Head
Glavenus Fire Orb	1	4%	Wound Head
Glavenus Pyroshell+	1	65%	Wound Back
Glavenus Pyroshell	2	15%	Wound Back
