☆ Raging Brachydios - MHXX G Rank	
Item			Qty	Prob.	How to obtain
Brach Cortex		1	40%	Body Carve
Fine Brach Ebonshell	1	29%	Body Carve
Brach Warhead		1	6%	Body Carve
Flashpoint Slime	1	17%	Body Carve
Brach Pallium		1	3%	Body Carve
Immortal Reactor	1	2%	Body Carve
Brach Gem		1	3%	Body Carve
Brach Lash		1	70%	Tail Carve
Fine Brach Ebonshell	1	20%	Tail Carve
Brach Pallium		1	3%	Tail Carve
Immortal Reactor	1	3%	Tail Carve
Brach Gem		1	4%	Tail Carve
Large Wyvern Tear	1	63%	Shiny Drops
Flashpoint Slime	1	32%	Shiny Drops
Brach Pallium		1	2%	Shiny Drops
Immortal Reactor	1	1%	Shiny Drops
Brach Gem		1	2%	Shiny Drops
Brach Cortex		1	22%	Capture
Fine Brach Ebonshell	1	33%	Capture
Brach Obliterator	1	20%	Capture
Glowing Slime		3	8%	Capture
Brach Lash		1	10%	Capture
Brach Pallium		1	3%	Capture
Immortal Reactor	1	2%	Capture
Brach Gem		1	2%	Capture
Brach Warhead		1	76%	Wound Head
Brach Crown		1	16%	Wound Head
Brach Cortex		1	8%	Wound Head
Brach Obliterator	1	67%	Wound Front Leg
Brach Pounder+		1	15%	Wound Front Leg
Fine Brach Ebonshell	1	8%	Wound Front Leg
Flashpoint Slime	1	10%	Wound Front Leg
