☆ Stonefist Hermitaur - MHXX Lv 1~3
Item			Qty	Prob.	How to obtain
Stonefist Shell		1	60%	Body Carve
Stonefist Claw		1	10%	Body Carve
Black Pearl		1	10%	Body Carve
Monster Bone L		1	19%	Body Carve
Carapaceon Brains	1	1%	Body Carve
Crab Pearl		1	75%	Shiny Drops
Black Pearl		1	25%	Shiny Drops
Stonefist Shell		1	25%	Capture
Stonefist Claw		1	35%	Capture
Black Pearl		2	30%	Capture
Decayed Crimson Horn	1	10%	Capture
Stonefist Shell		1	15%	Break Shell
Decayed Crimson Horn	1	60%	Break Shell
Monster Bone L		1	25%	Break Shell
Stonefist Claw		1	85%	Break Claw
Stonefist Claw		2	15%	Break Claw

☆ Stonefist Hermitaur - MHXX Lv 4~5
Item			Qty	Prob.	How to obtain
Stonefist Shell		1	60%	Body Carve
Stonefist Claw		1	10%	Body Carve
Black Pearl		1	10%	Body Carve
Monster Bone+		1	19%	Body Carve
Carapaceon Brains+	1	1%	Body Carve
Crab Pearl		1	38%	Shiny Drops
Crab Pearl+		1	37%	Shiny Drops
Black Pearl		1	25%	Shiny Drops
Stonefist Shell		1	25%	Capture
Stonefist Claw		1	35%	Capture
Black Pearl		2	30%	Capture
Decayed Crimson Horn	1	10%	Capture
Stonefist Shell		1	15%	Break Shell
Decayed Crimson Horn	1	70%	Break Shell
Monster Bone+		1	15%	Break Shell
Stonefist Claw		1	85%	Break Claw
Stonefist Claw		2	15%	Break Claw

☆ Stonefist Hermitaur - MHXX Lv 6~8	
Item			Qty	Prob.	How to obtain
Stonefist Carapace	1	25%	Body Carve
Stonefist Shell		1	35%	Body Carve
Stonefist Claw+		1	4%	Body Carve
Stonefist Claw		1	6%	Body Carve
Black Pearl		1	10%	Body Carve
Monster Bone+		1	19%	Body Carve
Carapaceon Brains+	1	1%	Body Carve
Crab Pearl		1	38%	Shiny Drops
Crab Pearl+		1	37%	Shiny Drops
Black Pearl		1	25%	Shiny Drops
Stonefist Carapace	1	20%	Capture
Stonefist Shell		2	10%	Capture
Stonefist Claw+		1	15%	Capture
Stonefist Claw		1	20%	Capture
Black Pearl		2	25%	Capture
Decayed Crimson Horn	1	10%	Capture
Stonefist Carapace	1	5%	Break Shell
Stonefist Shell		1	10%	Break Shell
Decayed Crimson Horn	1	70%	Break Shell
Monster Bone+		1	15%	Break Shell
Stonefist Claw+		1	50%	Break Claw
Stonefist Claw		1	15%	Break Claw
Stonefist Claw		2	35%	Break Claw

☆ Stonefist Hermitaur - MHXX Lv 9~10	
Item			Qty	Prob.	How to obtain
Stonefist Carapace	1	60%	Body Carve
Stonefist Claw+		1	10%	Body Carve
Black Pearl		1	10%	Body Carve
Monster Bone+		1	19%	Body Carve
Carapaceon Brains+	1	1%	Body Carve
Crab Pearl		1	38%	Shiny Drops
Crab Pearl+		1	37%	Shiny Drops
Black Pearl		1	25%	Shiny Drops
Stonefist Carapace	1	25%	Capture
Stonefist Claw+		1	35%	Capture
Black Pearl		2	30%	Capture
Decayed Crimson Horn	1	10%	Capture
Stonefist Carapace	1	15%	Break Shell
Decayed Crimson Horn	1	70%	Break Shell
Monster Bone+		1	15%	Break Shell
Stonefist Claw+		1	70%	Break Claw
Stonefist Claw+		2	15%	Break Claw
Stonefist Claw		2	15%	Break Claw

☆ Stonefist Hermitaur - MHXX Lv 11~12	
Item			Qty	Prob.	How to obtain
Stonefist Cortex	1	25%	Body Carve
Stonefist Carapace	1	35%	Body Carve
Stonefist Claw+		1	10%	Body Carve
Fine Black Pearl	1	10%	Body Carve
Monster Toughbone	1	19%	Body Carve
Carapaceon Brains+	1	1%	Body Carve
Crab Pearl+		1	75%	Shiny Drops
Fine Black Pearl	1	25%	Shiny Drops
Stonefist Cortex	1	15%	Capture
Stonefist Carapace	1	20%	Capture
Stonefist Claw+		1	30%	Capture
Fine Black Pearl	2	25%	Capture
Timeworn Crimson Horn	1	10%	Capture
Stonefist Cortex	1	5%	Break Shell
Stonefist Carapace	1	10%	Break Shell
Timeworn Crimson Horn	1	70%	Break Shell
Monster Hardbone	1	15%	Break Shell
Stonefist Claw+		1	85%	Break Claw
Stonefist Claw+		2	15%	Break Claw

☆ Stonefist Hermitaur - MHXX Lv 13~15
Item			Qty	Prob.	How to obtain
Stonefist Cortex	1	25%	Body Carve
Stonefist Carapace	1	35%	Body Carve
Stonefist Talon		1	4%	Body Carve
Stonefist Claw+		1	6%	Body Carve
Fine Black Pearl	1	10%	Body Carve
Monster Toughbone	1	19%	Body Carve
Carapaceon Brains+	1	1%	Body Carve
Crab Pearl+		1	75%	Shiny Drops
Fine Black Pearl	1	25%	Shiny Drops
Stonefist Cortex	1	20%	Capture
Stonefist Carapace	2	10%	Capture
Stonefist Talon		1	15%	Capture
Stonefist Claw+		1	20%	Capture
Fine Black Pearl	2	25%	Capture
Timeworn Crimson Horn	1	10%	Capture
Stonefist Cortex	1	5%	Break Shell
Stonefist Carapace	1	10%	Break Shell
Timeworn Crimson Horn	1	70%	Break Shell
Monster Hardbone	1	15%	Break Shell
Stonefist Talon		1	50%	Break Claw
Stonefist Claw+		1	15%	Break Claw
Stonefist Claw+		2	35%	Break Claw

