☆ Elderfrost Gammoth - MHXX Lv 11~12
Item			Qty	Prob.	How to obtain
Elderfrost Pelt		1	38%	Body Carve
Gammoth Pelt+		1	18%	Body Carve
Gammoth Cortex		1	23%	Body Carve
Gammoth Hardfang	1	15%	Body Carve
Gammoth Pallium		1	2%	Body Carve
Gammoth Ice Orb		1	4%	Body Carve
Large Beast Tear	1	70%	Shiny Drops
Gammoth Fur		1	10%	Shiny Drops
Giant Snowclod		1	20%	Shiny Drops
Gammoth Cortex		1	22%	Capture
Gammoth Fur		1	22%	Capture
Elderfrost Trunkspine	1	10%	Capture
Trunkspine+		1	10%	Capture
Giant Snowclod		1	28%	Capture
Gammoth Pallium		1	3%	Capture
Gammoth Ice Orb		1	5%	Capture
Gammoth Hardfang	1	50%	Wound Head
Gammoth Fang+		2	6%	Wound Head
Gammoth Cortex		1	19%	Wound Head
Elderfrost Pelt		1	15%	Wound Head
Gammoth Pallium		1	5%	Wound Head
Gammoth Ice Orb		1	5%	Wound Head
Elderfrost Trunkspine	1	55%	Wound Trunk
Trunkspine+		1	30%	Wound Trunk
Gammoth Fur		1	15%	Wound Trunk
Gammoth Cortex		1	50%	Wound Leg
Gammoth Carapace	2	10%	Wound Leg
Giant Snowclod		2	30%	Wound Leg
Large Snowclod		2	10%	Wound Leg

☆ Elderfrost Gammoth - MHXX Lv 13~15
Item			Qty	Prob.	How to obtain
Elderfrost Pelt		1	38%	Body Carve
Gammoth Pelt+		1	18%	Body Carve
Elderfrost Cortex	1	23%	Body Carve
Gammoth Hardfang	1	15%	Body Carve
Gammoth Pallium		1	2%	Body Carve
Gammoth Ice Orb		1	4%	Body Carve
Large Beast Tear	1	70%	Shiny Drops
Gammoth Fur		1	10%	Shiny Drops
Giant Snowclod		1	20%	Shiny Drops
Elderfrost Cortex	1	22%	Capture
Gammoth Fur		1	22%	Capture
Elderfrost Trunkspine	1	10%	Capture
Trunkspine+		1	10%	Capture
Giant Snowclod		1	28%	Capture
Gammoth Pallium		1	3%	Capture
Gammoth Ice Orb		1	5%	Capture
Gammoth Hardfang	1	50%	Wound Head
Gammoth Fang+		2	6%	Wound Head
Elderfrost Cortex	1	19%	Wound Head
Elderfrost Pelt		1	13%	Wound Head
Gammoth Pallium		1	6%	Wound Head
Gammoth Ice Orb		1	6%	Wound Head
Elderfrost Trunkspine	1	55%	Wound Trunk
Trunkspine+		1	30%	Wound Trunk
Gammoth Fur		1	15%	Wound Trunk
Elderfrost Cortex	1	50%	Wound Leg
Gammoth Carapace	2	10%	Wound Leg
Giant Snowclod		2	30%	Wound Leg
Large Snowclod		2	10%	Wound Leg

☆ Elderfrost Gammoth - MHXX Lv Ex	
Item			Qty	Prob.	How to obtain
Elderfrost Pelt		1	38%	Body Carve
Gammoth Pelt+		1	18%	Body Carve
Elderfrost Cortex	1	23%	Body Carve
Gammoth Hardfang	1	15%	Body Carve
Gammoth Pallium		1	2%	Body Carve
Gammoth Ice Orb		1	4%	Body Carve
Large Beast Tear	1	70%	Shiny Drops
Gammoth Fur		1	10%	Shiny Drops
Giant Snowclod		1	20%	Shiny Drops
Elderfrost Cortex	2	22%	Capture
Gammoth Fur		1	22%	Capture
Elderfrost Trunkspine	1	20%	Capture
Giant Snowclod		1	28%	Capture
Gammoth Pallium		1	3%	Capture
Gammoth Ice Orb		1	5%	Capture
Gammoth Hardfang	1	50%	Wound Head
Gammoth Fang+		2	4%	Wound Head
Elderfrost Cortex	1	19%	Wound Head
Elderfrost Pelt		1	13%	Wound Head
Gammoth Pallium		1	7%	Wound Head
Gammoth Ice Orb		1	7%	Wound Head
Elderfrost Trunkspine	2	85%	Wound Trunk
Trunkspine+		1	15%	Wound Trunk
Elderfrost Cortex	1	50%	Wound Leg
Gammoth Carapace	2	10%	Wound Leg
Giant Snowclod		2	30%	Wound Leg
Large Snowclod		2	10%	Wound Leg
