☆ Redhelm Arzuros - MHXX Lv 1~3
Item			Qty	Prob.	How to obtain
Redhelm Pelt		1	65%	Body Carve
Redhelm Shell		1	25%	Body Carve
Jumbo Bone		1	10%	Body Carve
Honey			1	100%	Shiny Drops (Honey)
Sushifish		1	85%	Shiny Drops (Fish)
Goldenfish		1	15%	Shiny Drops (Fish)
Redhelm Pelt		1	10%	Capture
Redhelm Shell		1	45%	Capture
Arzuros Brace		1	20%	Capture
Jumbo Bone		2	25%	Capture
Arzuros Brace		1	70%	Wound Wrist
Redhelm Pelt		1	30%	Wound Wrist
Redhelm Ragehair	1	70%	Wound Head
Redhelm Pelt		2	30%	Wound Head

☆ Redhelm Arzuros - MHXX Lv 4~5
Item			Qty	Prob.	How to obtain
Redhelm Pelt		1	65%	Body Carve
Redhelm Shell		1	25%	Body Carve
Stoutbone		1	10%	Body Carve
Honey			1	100%	Shiny Drops (Honey)
Sushifish		1	80%	Shiny Drops (Fish)
Goldenfish		1	20%	Shiny Drops (Fish)
Redhelm Pelt		1	10%	Capture
Redhelm Shell		1	45%	Capture
Arzuros Brace+		1	20%	Capture
Stoutbone		2	25%	Capture
Arzuros Brace+		1	65%	Wound Wrist
Arzuros Brace		2	10%	Wound Wrist
Redhelm Pelt		1	25%	Wound Wrist
Redhelm Ragehair	1	70%	Wound Head
Redhelm Pelt		2	30%	Wound Head

☆ Redhelm Arzuros - MHXX Lv 6~8	
Item			Qty	Prob.	How to obtain
Redhelm Pelt+		1	60%	Body Carve
Redhelm Pelt		1	10%	Body Carve
Redhelm Carapace	1	20%	Body Carve
Stoutbone		1	10%	Body Carve
Honey			1	100%	Shiny Drops (Honey)
Sushifish		1	80%	Shiny Drops (Fish)
Goldenfish		1	20%	Shiny Drops (Fish)
Redhelm Pelt+		1	10%	Capture
Redhelm Carapace	1	40%	Capture
Redhelm Shell		2	10%	Capture
Arzuros Brace+		1	20%	Capture
Stoutbone		2	20%	Capture
Arzuros Brace+		1	65%	Wound Wrist
Arzuros Brace		2	10%	Wound Wrist
Redhelm Pelt+		1	10%	Wound Wrist
Redhelm Pelt		1	15%	Wound Wrist
Redhelm Furyhair	1	30%	Wound Head
Redhelm Ragehair	1	40%	Wound Head
Redhelm Pelt		2	30%	Wound Head

☆ Redhelm Arzuros - MHXX Lv 9~10	
Item			Qty	Prob.	How to obtain
Redhelm Pelt+		1	65%	Body Carve
Redhelm Carapace	1	25%	Body Carve
Stoutbone		1	10%	Body Carve
Honey			1	100%	Shiny Drops (Honey)
Sushifish		1	80%	Shiny Drops (Fish)
Goldenfish		1	20%	Shiny Drops (Fish)
Redhelm Pelt+		1	10%	Capture
Redhelm Carapace	1	45%	Capture
Arzuros Brace+		1	20%	Capture
Stoutbone		2	25%	Capture
Arzuros Brace+		1	65%	Wound Wrist
Arzuros Brace		2	10%	Wound Wrist
Redhelm Pelt+		1	25%	Wound Wrist
Redhelm Furyhair	1	70%	Wound Head
Redhelm Ragehair	2	30%	Wound Head

☆ Redhelm Arzuros - MHXX Lv 11~12	
Item			Qty	Prob.	How to obtain
Redhelm Fur		1	60%	Body Carve
Redhelm Pelt+		1	10%	Body Carve
Redhelm Carapace	1	20%	Body Carve
Massive Bone		1	10%	Body Carve
Honey			1	100%	Shiny Drops (Honey)
Sushifish		1	80%	Shiny Drops (Fish)
Goldenfish		1	20%	Shiny Drops (Fish)
Redhelm Fur		1	10%	Capture
Redhelm Pelt+		1	10%	Capture
Redhelm Carapace	1	35%	Capture
Arzuros Allbrace	1	20%	Capture
Massive Bone		2	25%	Capture
Arzuros Allbrace	1	65%	Wound Wrist
Arzuros Brace+		2	10%	Wound Wrist
Redhelm Fur		1	10%	Wound Wrist
Redhelm Pelt+		1	15%	Wound Wrist
Redhelm Zenith Furyhair	1	30%	Wound Head
Redhelm Furyhair	1	40%	Wound Head
Redhelm Pelt+		2	30%	Wound Head

☆ Redhelm Arzuros - MHXX Lv 13~15
Item			Qty	Prob.	How to obtain
Redhelm Fur		1	60%	Body Carve
Redhelm Pelt+		1	10%	Body Carve
Redhelm Cortex		1	20%	Body Carve
Massive Bone		1	10%	Body Carve
Honey			1	100%	Shiny Drops (Honey)
Sushifish		1	80%	Shiny Drops (Fish)
Goldenfish		1	20%	Shiny Drops (Fish)
Redhelm Fur		1	10%	Capture
Redhelm Cortex		1	40%	Capture
Redhelm Carapace	2	10%	Capture
Arzuros Allbrace	1	20%	Capture
Massive Bone		2	20%	Capture
Arzuros Allbrace	1	65%	Wound Wrist
Arzuros Brace+		2	10%	Wound Wrist
Redhelm Fur		1	10%	Wound Wrist
Redhelm Pelt+		1	15%	Wound Wrist
Redhelm Zenith Furyhair	1	30%	Wound Head
Redhelm Furyhair	1	40%	Wound Head
Redhelm Pelt+		2	30%	Wound Head

☆ Redhelm Arzuros - MHXX Lv Ex
Item			Qty	Prob.	How to obtain
Redhelm Fur		1	65%	Body Carve
Redhelm Cortex		1	25%	Body Carve
Massive Bone		1	10%	Body Carve
Honey			1	100%	Shiny Drops (Honey)
Sushifish		1	80%	Shiny Drops (Fish)
Goldenfish		1	20%	Shiny Drops (Fish)
Redhelm Fur		1	10%	Capture
Redhelm Cortex		1	45%	Capture
Arzuros Allbrace	1	20%	Capture
Massive Bone		2	25%	Capture
Arzuros Allbrace	1	65%	Wound Wrist
Arzuros Brace+		2	10%	Wound Wrist
Redhelm Fur		1	25%	Wound Wrist
Redhelm Zenith Furyhair	1	70%	Wound Head
Redhelm Furyhair	2	30%	Wound Head
