☆ Snowbaron Lagombi - MHXX Lv 1~3
Item			Qty	Prob.	How to obtain
Snowbaron Pelt		1	50%	Body Carve
Snowbaron Plastron	1	30%	Body Carve
Lagombi Iceclaw		1	15%	Body Carve
Jumbo Bone		1	5%	Body Carve
Beast Tear		1	75%	Shiny Drops
Snowbaron Pelt		1	15%	Shiny Drops
Snowbaron Plastron	1	10%	Shiny Drops
Snowbaron Pelt		2	15%	Capture
Snowbaron Plastron	1	40%	Capture
Lagombi Iceclaw		1	25%	Capture
Jumbo Bone		2	20%	Capture
Lagombi Ear		1	85%	Wound Head
Snowbaron Pelt		2	15%	Wound Head

☆ Snowbaron Lagombi - MHXX Lv 4~5
Item			Qty	Prob.	How to obtain
Snowbaron Pelt		1	50%	Body Carve
Snowbaron Plastron	1	30%	Body Carve
Lagombi Frozenclaw	1	15%	Body Carve
Stoutbone		1	5%	Body Carve
Beast Tear		1	38%	Shiny Drops
Large Beast Tear	1	37%	Shiny Drops
Snowbaron Pelt		1	15%	Shiny Drops
Snowbaron Plastron	1	10%	Shiny Drops
Snowbaron Pelt		2	15%	Capture
Snowbaron Plastron	1	35%	Capture
Lagombi Frozenclaw	1	25%	Capture
Lagombi Iceclaw		2	5%	Capture
Stoutbone		2	20%	Capture
Lagombi Ear+		1	75%	Wound Head
Lagombi Ear		2	10%	Wound Head
Snowbaron Pelt		2	15%	Wound Head

☆ Snowbaron Lagombi - MHXX Lv 6~8	
Item			Qty	Prob.	How to obtain
Snowbaron Pelt+		1	20%	Body Carve
Snowbaron Pelt		1	30%	Body Carve
Snowbaron Plastron+	1	30%	Body Carve
Lagombi Frozenclaw	1	15%	Body Carve
Stoutbone		1	5%	Body Carve
Beast Tear		1	38%	Shiny Drops
Large Beast Tear	1	37%	Shiny Drops
Snowbaron Pelt+		1	15%	Shiny Drops
Snowbaron Plastron	1	10%	Shiny Drops
Snowbaron Pelt+		2	15%	Capture
Snowbaron Plastron+	1	20%	Capture
Snowbaron Plastron	1	15%	Capture
Lagombi Frozenclaw	1	25%	Capture
Lagombi Iceclaw		2	5%	Capture
Stoutbone		2	20%	Capture
Lagombi Ear+		1	75%	Wound Head
Lagombi Ear		2	10%	Wound Head
Snowbaron Pelt+		2	5%	Wound Head
Snowbaron Pelt		2	10%	Wound Head

☆ Snowbaron Lagombi - MHXX Lv 9~10	
Item			Qty	Prob.	How to obtain
Snowbaron Pelt+		1	50%	Body Carve
Snowbaron Plastron+	1	30%	Body Carve
Lagombi Frozenclaw	1	15%	Body Carve
Stoutbone		1	5%	Body Carve
Beast Tear		1	38%	Shiny Drops
Large Beast Tear	1	37%	Shiny Drops
Snowbaron Pelt+		1	15%	Shiny Drops
Snowbaron Plastron+	1	10%	Shiny Drops
Snowbaron Pelt+		2	15%	Capture
Snowbaron Plastron+	1	35%	Capture
Lagombi Frozenclaw	1	25%	Capture
Lagombi Iceclaw		2	5%	Capture
Stoutbone		2	20%	Capture
Lagombi Ear+		1	75%	Wound Head
Lagombi Ear		2	10%	Wound Head
Snowbaron Pelt+		2	15%	Wound Head

☆ Snowbaron Lagombi - MHXX Lv 11~12	
Item			Qty	Prob.	How to obtain
Snowbaron Fur		1	20%	Body Carve
Snowbaron Pelt+		1	30%	Body Carve
Snowbaron Plastron+	1	30%	Body Carve
Lagombi Frigidclaw	1	15%	Body Carve
Massive Bone		1	5%	Body Carve
Large Beast Tear	1	75%	Shiny Drops
Snowbaron Pelt+		1	15%	Shiny Drops
Snowbaron Plastron+	1	10%	Shiny Drops
Snowbaron Fur		2	15%	Capture
Snowbaron Pelt+		2	10%	Capture
Snowbaron Plastron+	1	30%	Capture
Lagombi Frigidclaw	1	25%	Capture
Lagombi Frozenclaw	2	5%	Capture
Massive Bone		2	15%	Capture
Lagombi Ear+		1	50%	Wound Head
Lagombi Ear+		2	35%	Wound Head
Snowbaron Fur		2	5%	Wound Head
Snowbaron Pelt+		2	10%	Wound Head

☆ Snowbaron Lagombi - MHXX Lv 13~15
Item			Qty	Prob.	How to obtain
Snowbaron Fur		1	20%	Body Carve
Snowbaron Pelt+		1	30%	Body Carve
Snowbaron Cuirass	1	30%	Body Carve
Lagombi Frigidclaw	1	15%	Body Carve
Massive Bone		1	5%	Body Carve
Large Beast Tear	1	75%	Shiny Drops
Snowbaron Fur		1	15%	Shiny Drops
Snowbaron Plastron+	1	10%	Shiny Drops
Snowbaron Fur		2	15%	Capture
Snowbaron Cuirass	1	20%	Capture
Snowbaron Plastron+	1	15%	Capture
Lagombi Frigidclaw	1	25%	Capture
Lagombi Frozenclaw	2	5%	Capture
Massive Bone		2	20%	Capture
Lagombi Ear+		1	50%	Wound Head
Lagombi Ear+		2	35%	Wound Head
Snowbaron Fur		2	5%	Wound Head
Snowbaron Pelt+		2	10%	Wound Head

☆ Snowbaron Lagombi - MHXX Lv Ex
Item			Qty	Prob.	How to obtain
Snowbaron Fur		1	50%	Body Carve
Snowbaron Cuirass	1	30%	Body Carve
Lagombi Frigidclaw	1	15%	Body Carve
Massive Bone		1	5%	Body Carve
Large Beast Tear	1	75%	Shiny Drops
Snowbaron Fur		1	15%	Shiny Drops
Snowbaron Cuirass	1	10%	Shiny Drops
Snowbaron Fur		2	15%	Capture
Snowbaron Cuirass	1	35%	Capture
Lagombi Frigidclaw	1	25%	Capture
Lagombi Frozenclaw	2	5%	Capture
Massive Bone		2	20%	Capture
Lagombi Ear+		1	50%	Wound Head
Lagombi Ear+		2	35%	Wound Head
Snowbaron Fur		2	15%	Wound Head
