☆ Basarios - MHXX High Rank	
Item			Qty	Prob.	How to obtain
Toxin Sac		1	11%	Body Carve
Carbalite Ore		1	23%	Body Carve
Basarios Carapace	1	30%	Body Carve
Monster Keenbone	1	11%	Body Carve
Basarios Tears		1	7%	Body Carve
Basarios Wing		1	15%	Body Carve
Wyvern Gem		1	3%	Body Carve
Basarios Carapace	1	60%	Tail Carve
Carbalite Ore		1	40%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Basarios Tears		1	5%	Shiny Drops
Carbalite Ore		1	20%	Shiny Drops
Carbalite Ore		1	60%	Mining Back
Dragonite Ore		1	15%	Mining Back
Basarios Carapace	1	20%	Mining Back
Basarios Tears		1	5%	Mining Back
Carbalite Ore		2	28%	Capture
Basarios Tears		1	7%	Capture
Basarios Wing		1	30%	Capture
Basarios Carapace	1	35%	Capture
Carbalite Ore		2	40%	Wound Back
Basarios Wing		1	35%	Wound Back
Basarios Tears		1	10%	Wound Back
Monster Keenbone	1	15%	Wound Back
Carbalite Ore		1	55%	Wound Belly
Toxin Sac		1	45%	Wound Belly

☆ Basarios - MHXX G Rank	
Item			Qty	Prob.	How to obtain
Deadly Poison Sac	1	11%	Body Carve
Eltalite Ore		1	20%	Body Carve
Basarios Cortex		1	28%	Body Carve
Monster Toughbone	1	10%	Body Carve
Basarios Tears		1	7%	Body Carve
Basarios Fellwing	1	15%	Body Carve
Lrg Wyvern Gem		1	3%	Body Carve
Wyvern Gem		1	4%	Body Carve
Basarios Pallium	1	2%	Body Carve
Basarios Cortex		1	60%	Tail Carve
Eltalite Ore		1	37%	Tail Carve
Basarios Pallium	1	3%	Tail Carve
Large Wyvern Tear	1	75%	Shiny Drops
Basarios Tears		1	8%	Shiny Drops
Eltalite Ore		1	17%	Shiny Drops
Eltalite Ore		1	60%	Mining Back
Carbalite Ore		1	13%	Mining Back
Basarios Cortex		1	20%	Mining Back
Basarios Tears		1	7%	Mining Back
Eltalite Ore		2	23%	Capture
Basarios Tears		1	12%	Capture
Basarios Fellwing	1	30%	Capture
Basarios Wing		2	7%	Capture
Basarios Cortex		1	25%	Capture
Basarios Pallium	1	3%	Capture
Eltalite Ore		2	40%	Wound Back
Basarios Fellwing	1	35%	Wound Back
Basarios Tears		1	10%	Wound Back
Monster Toughbone	1	15%	Wound Back
Eltalite Ore		1	52%	Wound Belly
Deadly Poison Sac	1	40%	Wound Belly
Toxin Sac		2	8%	Wound Belly
