☆ Dreadking Rathalos - MHXX Lv 1~4
Item			Qty	Prob.	How to obtain
Dreadking Scale		1	38%	Body Carve
Dreadking Shell		1	29%	Body Carve
Rathalos Wing		1	13%	Body Carve
Inferno Sac		1	15%	Body Carve
Rath Medulla		1	5%	Body Carve
Dreadking Scale		1	20%	Tail Carve
Rathalos Tail		1	61%	Tail Carve
Rath Medulla		1	8%	Tail Carve
Rathalos Ruby		1	3%	Tail Carve
Rathalos Plate		1	8%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Dreadking Scale		1	23%	Shiny Drops
Rathalos Ruby		1	2%	Shiny Drops
Dreadking Shell		1	38%	Capture
Rathalos Wing		1	10%	Capture
Rathalos Webbing	2	18%	Capture
Rathalos Tail		1	18%	Capture
Rath Medulla		1	8%	Capture
Rathalos Plate		1	5%	Capture
Rathalos Ruby		1	3%	Capture
Dreadking Scale		1	60%	Wound Head
Dreadking Shell		1	30%	Wound Head
Rathalos Plate		1	6%	Wound Head
Rathalos Ruby		1	4%	Wound Head
Rath Wingtalon		4	70%	Wound Wing
Wyvern Claw		5	10%	Wound Wing
Rathalos Wing		1	20%	Wound Wing
Dreadking Shell		1	59%	Wound Back
Rath Medulla		1	30%	Wound Back
Rath Marrow		1	10%	Wound Back
Rathalos Ruby		1	1%	Wound Back

☆ Dreadking Rathalos - MHXX Lv 5~8
Item			Qty	Prob.	How to obtain
Dreadking Scale+	1	18%	Body Carve
Dreadking Scale		1	20%	Body Carve
Dreadking Carapace	1	14%	Body Carve
Dreadking Shell		1	15%	Body Carve
Rathalos Wing		1	13%	Body Carve
Inferno Sac		1	15%	Body Carve
Rath Medulla		1	5%	Body Carve
Dreadking Scale+	1	18%	Tail Carve
Dreadking Scale		1	7%	Tail Carve
Rathalos Tail		1	53%	Tail Carve
Rath Medulla		1	8%	Tail Carve
Rathalos Ruby		1	4%	Tail Carve
Rathalos Plate		1	10%	Tail Carve
