☆ Dreadqueen Rathian - MHXX Lv 1~3
Item			Qty	Prob.	How to obtain
Dreadqueen Scale	1	40%	Body Carve
Dreadqueen Shell	1	30%	Body Carve
Rathian Webbing		1	15%	Body Carve
Flame Sac		1	10%	Body Carve
Rathian Spike		1	5%	Body Carve
Dreadqueen Scale	1	62%	Tail Carve
Rathian Spike		1	20%	Tail Carve
Rath Marrow		1	15%	Tail Carve
Rathian Plate		1	3%	Tail Carve
Wyvern Tear		1	74%	Shiny Drops
Dreadqueen Scale	1	15%	Shiny Drops
Rathian Spike		1	10%	Shiny Drops
Rathian Plate		1	1%	Shiny Drops
Dreadqueen Shell	1	30%	Capture
Dreadqueen Scale	2	25%	Capture
Rath Marrow		1	23%	Capture
Flame Sac		1	20%	Capture
Rathian Plate		1	2%	Capture
Dreadqueen Shell	1	71%	Wound Head
Dreadqueen Scale	1	25%	Wound Head
Rathian Plate		1	4%	Wound Head
Rath Wingtalon		1	30%	Wound Wing
Rath Wingtalon		2	45%	Wound Wing
Wyvern Claw		4	10%	Wound Wing
Rathian Webbing		1	15%	Wound Wing
Dreadqueen Shell	1	69%	Wound Back
Rathian Spike		1	30%	Wound Back
Rathian Plate		1	1%	Wound Back

☆ Dreadqueen Rathian - MHXX Lv 4~5
Item			Qty	Prob.	How to obtain
Dreadqueen Scale	1	38%	Body Carve
Dreadqueen Shell	1	25%	Body Carve
Rathian Webbing		1	12%	Body Carve
Inferno Sac		1	12%	Body Carve
Rathian Spike+		1	5%	Body Carve
Rathian Spike		1	8%	Body Carve
Dreadqueen Scale	1	62%	Tail Carve
Rathian Spike+		1	15%	Tail Carve
Rath Medulla		1	10%	Tail Carve
Rathian Ruby		1	3%	Tail Carve
Rathian Plate		1	10%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Dreadqueen Scale	1	15%	Shiny Drops
Rathian Ruby		1	2%	Shiny Drops
Rathian Spike+		1	8%	Shiny Drops
Dreadqueen Shell	1	30%	Capture
