☆ Rathalos - MHXX Low Rank	
Item			Qty	Prob.	How to obtain
Rathalos Scale		1	40%	Body Carve
Rathalos Shell		1	28%	Body Carve
Rathalos Webbing	1	19%	Body Carve
Flame Sac		1	8%	Body Carve
Rath Marrow		1	5%	Body Carve
Rathalos Scale		1	20%	Tail Carve
Rathalos Tail		1	70%	Tail Carve
Rath Marrow		1	7%	Tail Carve
Rathalos Plate		1	3%	Tail Carve
Wyvern Tear		1	74%	Shiny Drops
Rathalos Scale		1	24%	Shiny Drops
Rathalos Plate		1	2%	Shiny Drops
Rathalos Shell		1	42%	Capture
Rathalos Webbing	1	29%	Capture
Rathalos Tail		1	19%	Capture
Rath Marrow		1	8%	Capture
Rathalos Plate		1	2%	Capture
Rathalos Scale		1	66%	Wound Head
Rathalos Shell		1	30%	Wound Head
Rathalos Plate		1	4%	Wound Head
Rath Wingtalon		1	75%	Wound Wing
Wyvern Claw		4	10%	Wound Wing
Rathalos Webbing	1	15%	Wound Wing
Rathalos Shell		1	69%	Wound Back
Rath Marrow		1	30%	Wound Back
Rathalos Plate		1	1%	Wound Back

☆ Rathalos - MHXX High Rank	
Item			Qty	Prob.	How to obtain
Rathalos Scale+		1	38%	Body Carve
Rathalos Carapace	1	29%	Body Carve
Rathalos Wing		1	13%	Body Carve
Inferno Sac		1	15%	Body Carve
Rath Medulla		1	5%	Body Carve
Rathalos Scale+		1	18%	Tail Carve
Rathalos Scale		1	7%	Tail Carve
Rathalos Tail		1	56%	Tail Carve
Rath Medulla		1	8%	Tail Carve
Rathalos Ruby		1	3%	Tail Carve
Rathalos Plate		1	8%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Rathalos Scale+		1	23%	Shiny Drops
Rathalos Ruby		1	2%	Shiny Drops
Rathalos Carapace	1	38%	Capture
Rathalos Wing		1	10%	Capture
Rathalos Webbing	2	18%	Capture
Rathalos Tail		1	18%	Capture
Rath Medulla		1	8%	Capture
Rathalos Plate		1	5%	Capture
Rathalos Ruby		1	3%	Capture
Rathalos Scale+		1	57%	Wound Head
Rathalos Carapace	1	25%	Wound Head
Rathalos Shell		2	8%	Wound Head
Rathalos Plate		1	6%	Wound Head
Rathalos Ruby		1	4%	Wound Head
Rath Wingtalon		4	70%	Wound Wing
Wyvern Claw		5	10%	Wound Wing
Rathalos Wing		1	20%	Wound Wing
Rathalos Carapace	1	59%	Wound Back
Rath Medulla		1	30%	Wound Back
Rath Marrow		1	10%	Wound Back
Rathalos Ruby		1	1%	Wound Back

☆ Rathalos - MHXX G Rank	
Item			Qty	Prob.	How to obtain
Rathalos Shard		1	38%	Body Carve
Rathalos Cortex		1	29%	Body Carve
Rathalos Fellwing	1	13%	Body Carve
Conflagrant Sac		1	15%	Body Carve
Rath Medulla		1	5%	Body Carve
Rathalos Shard		1	12%	Tail Carve
Rathalos Scale+		1	4%	Tail Carve
Rathalos Lash		1	70%	Tail Carve
Rath Medulla		1	3%	Tail Carve
Rathalos Mantle		1	3%	Tail Carve
Rathalos Ruby		1	8%	Tail Carve
Large Wyvern Tear	1	75%	Shiny Drops
Rathalos Shard		1	23%	Shiny Drops
Rathalos Mantle		1	2%	Shiny Drops
Rathalos Cortex		1	40%	Capture
Rathalos Fellwing	1	18%	Capture
Rathalos Lash		1	26%	Capture
Rath Medulla		1	8%	Capture
Rathalos Ruby		1	5%	Capture
Rathalos Mantle		1	3%	Capture
Rathalos Shard		1	57%	Wound Head
Rathalos Cortex		1	25%	Wound Head
Rathalos Carapace	2	8%	Wound Head
Rathalos Ruby		1	6%	Wound Head
Rathalos Mantle		1	4%	Wound Head
Rath Wingtalon+		1	40%	Wound Wing
Rath Wingtalon+		2	30%	Wound Wing
Rathalos Fellwing	1	30%	Wound Wing
Rathalos Cortex		1	69%	Wound Back
Rath Medulla		1	30%	Wound Back
Rathalos Mantle		1	1%	Wound Back
