☆ Silverwind Nargacuga - MHXX Lv 1~4
Item			Qty	Prob.	How to obtain
Silverwind Scale	1	50%	Body Carve
Silverwind Blackfur	1	28%	Body Carve
Narga Razor		1	8%	Body Carve
Nargacuga Fang+		1	12%	Body Carve
Narga Medulla		1	2%	Body Carve
Nargacuga Tail		1	70%	Tail Carve
Narga Tailspike		1	10%	Tail Carve
Narga Medulla		1	5%	Tail Carve
Nargacuga Marrow	1	15%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Silverwind Scale	1	25%	Shiny Drops
Silverwind Blackfur	1	40%	Capture
Silverwind Scale	1	18%	Capture
Nargacuga Fang+		1	23%	Capture
Nargacuga Tail		1	15%	Capture
Narga Medulla		1	4%	Capture
Narga Razor		2	60%	Wound Wing
Narga Razor		1	20%	Wound Wing
Nargacuga Cutwing	3	8%	Wound Wing
Silverwind Blackfur	2	12%	Wound Wing
Silverwind Scale	2	20%	Wound Head
Nargacuga Fang+		2	50%	Wound Head
Nargacuga Fang+		1	15%	Wound Head
Nargacuga Fang		4	7%	Wound Head
Narga Medulla		1	8%	Wound Head
Narga Tailspike		2	63%	Wound Tail
Silverwind Blackfur	1	17%	Wound Tail
Narga Medulla		1	5%	Wound Tail
Nargacuga Marrow	1	15%	Wound Tail

☆ Silverwind Nargacuga - MHXX Lv 5~8
Item			Qty	Prob.	How to obtain
Silverwind Scale+	1	20%	Body Carve
Silverwind Scale	1	30%	Body Carve
Silverwind Blackfur+	1	13%	Body Carve
Silverwind Blackfur	1	15%	Body Carve
Narga Razor		1	8%	Body Carve
Nargacuga Fang+		1	12%	Body Carve
Narga Medulla		1	2%	Body Carve
Nargacuga Tail		1	66%	Tail Carve
Narga Tailspike		1	10%	Tail Carve
Narga Medulla		1	8%	Tail Carve
Nargacuga Marrow	1	16%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Silverwind Scale+	1	10%	Shiny Drops
Silverwind Scale	1	15%	Shiny Drops
Silverwind Blackfur+	1	20%	Capture
Silverwind Blackfur	1	25%	Capture
Silverwind Scale+	1	8%	Capture
Silverwind Scale	1	10%	Capture
Nargacuga Fang+		1	21%	Capture
Nargacuga Tail		1	12%	Capture
Narga Medulla		1	4%	Capture
Narga Razor		2	60%	Wound Wing
Narga Razor		1	20%	Wound Wing
Nargacuga Cutwing	3	8%	Wound Wing
Silverwind Blackfur+	2	4%	Wound Wing
Silverwind Blackfur	2	8%	Wound Wing
Silverwind Scale+	2	8%	Wound Head
Silverwind Scale	2	12%	Wound Head
Nargacuga Fang+		2	50%	Wound Head
Nargacuga Fang+		1	15%	Wound Head
Nargacuga Fang		4	7%	Wound Head
Narga Medulla		1	8%	Wound Head
Narga Tailspike		2	59%	Wound Tail
Silverwind Blackfur+	1	10%	Wound Tail
Silverwind Blackfur	1	7%	Wound Tail
Narga Medulla		1	8%	Wound Tail
Nargacuga Marrow	1	16%	Wound Tail

☆ Silverwind Nargacuga - MHXX Lv 9~10	
Item	Qty	Prob.	How to obtain
Silverwind Scale+	1	40%	Body Carve
Silverwind Scale	1	10%	Body Carve
Silverwind Blackfur+	1	28%	Body Carve
Narga Razor		1	8%	Body Carve
Nargacuga Fang+		1	12%	Body Carve
Narga Medulla		1	2%	Body Carve
Nargacuga Tail		1	66%	Tail Carve
Narga Tailspike		1	10%	Tail Carve
Narga Medulla		1	14%	Tail Carve
Nargacuga Marrow	1	10%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Silverwind Scale+	1	25%	Shiny Drops
Silverwind Blackfur+	1	35%	Capture
Silverwind Blackfur	2	10%	Capture
Silverwind Scale+	1	18%	Capture
Nargacuga Fang+		1	21%	Capture
Nargacuga Tail		1	12%	Capture
Narga Medulla		1	4%	Capture
Narga Razor		2	60%	Wound Wing
Narga Razor		1	20%	Wound Wing
Nargacuga Cutwing	3	8%	Wound Wing
Silverwind Blackfur+	2	12%	Wound Wing
Silverwind Scale+	2	20%	Wound Head
Nargacuga Fang+		2	50%	Wound Head
Nargacuga Fang+		1	15%	Wound Head
Nargacuga Fang		4	7%	Wound Head
Narga Medulla		1	8%	Wound Head
Narga Tailspike		2	59%	Wound Tail
Silverwind Blackfur+	1	17%	Wound Tail
Narga Medulla		1	14%	Wound Tail
Nargacuga Marrow	1	10%	Wound Tail

☆ Silverwind Nargacuga - MHXX Lv 11~12	
Item			Qty	Prob.	How to obtain
Silverwind Shard	1	20%	Body Carve
Silverwind Scale+	1	30%	Body Carve
Silverwind Blackfur+	1	28%	Body Carve
Nargacuga Cutwing+	1	8%	Body Carve
Nargacuga Hardfang	1	10%	Body Carve
Narga Medulla		1	2%	Body Carve
Nargacuga Mantle	1	2%	Body Carve
Nargacuga Lash		1	75%	Tail Carve
Narga Tailspear		1	15%	Tail Carve
Narga Medulla		1	10%	Tail Carve
Large Wyvern Tear	1	75%	Shiny Drops
Silverwind Scale+	1	24%	Shiny Drops
Nargacuga Mantle	1	1%	Shiny Drops
Silverwind Blackfur+	1	38%	Capture
Silverwind Shard	1	8%	Capture
Silverwind Scale+	1	10%	Capture
Nargacuga Hardfang	1	23%	Capture
Nargacuga Lash		1	15%	Capture
Narga Medulla		1	2%	Capture
Nargacuga Mantle	1	4%	Capture
Nargacuga Cutwing+	2	60%	Wound Wing
Nargacuga Cutwing+	1	20%	Wound Wing
Narga Razor		2	8%	Wound Wing
Silverwind Blackfur+	2	12%	Wound Wing
Silverwind Shard	2	8%	Wound Head
Silverwind Scale+	2	12%	Wound Head
Nargacuga Hardfang	2	50%	Wound Head
Nargacuga Hardfang	1	15%	Wound Head
Nargacuga Fang+		2	5%	Wound Head
Narga Medulla		1	6%	Wound Head
Nargacuga Mantle	1	4%	Wound Head
Narga Tailspear		2	73%	Wound Tail
Silverwind Blackfur+	1	20%	Wound Tail
Narga Medulla		1	7%	Wound Tail

☆ Silverwind Nargacuga - MHXX Lv 13~15	
Item			Qty	Prob.	How to obtain
Silverwind Shard	1	20%	Body Carve
Silverwind Scale+	1	29%	Body Carve
Silverwind Blackpelage	1	13%	Body Carve
Silverwind Blackfur+	1	14%	Body Carve
Nargacuga Cutwing+	1	8%	Body Carve
Nargacuga Hardfang	1	12%	Body Carve
Narga Medulla		1	2%	Body Carve
Nargacuga Mantle	1	2%	Body Carve
Nargacuga Lash		1	71%	Tail Carve
Narga Tailspear		1	15%	Tail Carve
Narga Medulla		1	14%	Tail Carve
Large Wyvern Tear	1	75%	Shiny Drops
Silverwind Shard	1	9%	Shiny Drops
Silverwind Scale+	1	15%	Shiny Drops
Nargacuga Mantle	1	1%	Shiny Drops
Silverwind Blackpelage	1	18%	Capture
Silverwind Blackfur+	1	25%	Capture
Silverwind Shard	1	8%	Capture
Silverwind Scale+	1	10%	Capture
Nargacuga Hardfang	1	21%	Capture
Nargacuga Lash		1	12%	Capture
Narga Medulla		1	2%	Capture
Nargacuga Mantle	1	4%	Capture
Nargacuga Cutwing+	2	60%	Wound Wing
Nargacuga Cutwing+	1	28%	Wound Wing
Silverwind Blackpelage	2	4%	Wound Wing
Silverwind Blackfur+	2	8%	Wound Wing
Silverwind Shard	2	8%	Wound Head
Silverwind Scale+	2	12%	Wound Head
Nargacuga Hardfang	2	50%	Wound Head
Nargacuga Hardfang	1	20%	Wound Head
Narga Medulla		1	6%	Wound Head
Nargacuga Mantle	1	4%	Wound Head
Narga Tailspear		2	69%	Wound Tail
Silverwind Blackpelage	1	12%	Wound Tail
Silverwind Blackfur+	1	9%	Wound Tail
Narga Medulla		1	10%	Wound Tail

☆ Silverwind Nargacuga - MHXX Lv Ex
Item			Qty	Prob.	How to obtain
Silverwind Shard	1	40%	Body Carve
Silverwind Scale+	1	10%	Body Carve
Silverwind Blackpelage	1	28%	Body Carve
Nargacuga Cutwing+	1	8%	Body Carve
Nargacuga Hardfang	1	12%	Body Carve
Nargacuga Mantle	1	2%	Body Carve
Nargacuga Lash		1	71%	Tail Carve
Narga Tailspear		1	15%	Tail Carve
Narga Medulla		1	14%	Tail Carve
Large Wyvern Tear	1	75%	Shiny Drops
Silverwind Shard	1	24%	Shiny Drops
Nargacuga Mantle	1	1%	Shiny Drops
Silverwind Blackpelage	1	33%	Capture
Silverwind Blackfur+	2	10%	Capture
Silverwind Shard	1	18%	Capture
Nargacuga Hardfang	1	21%	Capture
Nargacuga Lash		1	12%	Capture
Narga Medulla		1	2%	Capture
Nargacuga Mantle	1	4%	Capture
Nargacuga Cutwing+	2	60%	Wound Wing
Nargacuga Cutwing+	1	28%	Wound Wing
Silverwind Blackpelage	2	12%	Wound Wing
Silverwind Shard	2	20%	Wound Head
Nargacuga Hardfang	2	50%	Wound Head
Nargacuga Hardfang	1	20%	Wound Head
Narga Medulla		1	6%	Wound Head
Nargacuga Mantle	1	4%	Wound Head
Narga Tailspear		2	67%	Wound Tail
Silverwind Blackpelage	1	17%	Wound Tail
Narga Medulla		1	16%	Wound Tail
