☆ Tigrex - MHXX Low Rank	
Item			Qty	Prob.	How to obtain
Tigrex Scale		1	40%	Body Carve
Tigrex Shell		1	20%	Body Carve
Tigrex Claw		1	37%	Body Carve
Tigrex Scalp		1	3%	Body Carve
Tigrex Tail		1	80%	Tail Carve
Tigrex Scale		1	20%	Tail Carve
Wyvern Tear		1	75%	Shiny Drops
Tigrex Scale		1	20%	Shiny Drops
Tigrex Claw		1	5%	Shiny Drops
Tigrex Shell		1	40%	Capture
Tigrex Fang		1	25%	Capture
Tigrex Scale		2	18%	Capture
Tigrex Tail		1	12%	Capture
Tigrex Scalp		1	5%	Capture
Tigrex Fang		2	50%	Wound Head
Tigrex Scalp		1	12%	Wound Head
Tigrex Shell		1	38%	Wound Head
Tigrex Claw		2	60%	Break Claw
Tigrex Claw		1	40%	Break Claw

☆ Tigrex - MHXX High Rank	
Item			Qty	Prob.	How to obtain
Tigrex Scale+		1	35%	Body Carve
Tigrex Scale		1	8%	Body Carve
Tigrex Carapace		1	17%	Body Carve
Tigrex Claw+		1	30%	Body Carve
Tigrex Maw		1	3%	Body Carve
Tigrex Scalp		1	7%	Body Carve
Tigrex Tail		1	80%	Tail Carve
Tigrex Scale+		1	20%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
Tigrex Scale+		1	20%	Shiny Drops
Tigrex Claw+		1	5%	Shiny Drops
Tigrex Carapace		1	30%	Capture
Tigrex Shell		2	10%	Capture
Tigrex Fang+		1	25%	Capture
Tigrex Scale+		2	18%	Capture
Tigrex Tail		1	10%	Capture
Tigrex Maw		1	7%	Capture
Tigrex Fang+		1	52%	Wound Head
Tigrex Fang		3	8%	Wound Head
Tigrex Maw		1	8%	Wound Head
Tigrex Scalp		1	15%	Wound Head
Tigrex Carapace		1	17%	Wound Head
Tigrex Claw+		1	80%	Break Claw
Tigrex Claw		3	20%	Break Claw

☆ Tigrex - MHXX G Rank	
Item			Qty	Prob.	How to obtain
Tigrex Shard		1	35%	Body Carve
Tigrex Scale+		1	8%	Body Carve
Tigrex Cortex		1	17%	Body Carve
Tigrex Hardclaw		1	30%	Body Carve
Tigrex Mantle		1	3%	Body Carve
Tigrex Maw		1	7%	Body Carve
Tigrex Lash		1	80%	Tail Carve
Tigrex Shard		1	18%	Tail Carve
Tigrex Mantle		1	2%	Tail Carve
Large Wyvern Tear	1	75%	Shiny Drops
Tigrex Shard		1	20%	Shiny Drops
Tigrex Hardclaw		1	5%	Shiny Drops
Tigrex Cortex		1	32%	Capture
Tigrex Carapace		2	10%	Capture
Tigrex Hardfang		1	27%	Capture
Tigrex Shard		1	18%	Capture
Tigrex Lash		1	10%	Capture
Tigrex Mantle		1	3%	Capture
Tigrex Hardfang		1	57%	Wound Head
Tigrex Fang+		2	8%	Wound Head
Tigrex Mantle		1	3%	Wound Head
Tigrex Maw		1	15%	Wound Head
Tigrex Cortex		1	17%	Wound Head
Tigrex Hardclaw		1	80%	Break Claw
Tigrex Claw+		2	20%	Break Claw
