☆ Royal Ludroth - MHXX Low Rank	
Item			Qty	Prob.	How to obtain
Spongy Hide		1	30%	Body Carve
R.Ludroth Scale		1	25%	Body Carve
R.Ludroth Claw		1	20%	Body Carve
Aqua Sac		1	10%	Body Carve
Dash Extract		1	15%	Body Carve
R.Ludroth Tail		1	75%	Tail Carve
R.Ludroth Scale		1	25%	Tail Carve
Wyvern Tear		1	75%	Shiny Drops
R.Ludroth Scale		1	5%	Shiny Drops
Dash Extract		1	20%	Shiny Drops
Spongy Hide		1	10%	Capture
R.Ludroth Scale		2	20%	Capture
R.Ludroth Tail		1	12%	Capture
Aqua Sac		1	28%	Capture
Dash Extract		1	30%	Capture
R.Ludroth Crest		1	80%	Wound Head
R.Ludroth Scale		1	20%	Wound Head
Spongy Hide		1	70%	Wound Mane
Dash Extract		1	20%	Wound Mane
R.Ludroth Scale		2	10%	Wound Mane

☆ Royal Ludroth - MHXX High Rank	
Item			Qty	Prob.	How to obtain
Spongy Hide+		1	30%	Body Carve
R.Ludroth Scale+	1	25%	Body Carve
R.Ludroth Claw+		1	20%	Body Carve
Torrent Sac		1	10%	Body Carve
Dash Extract		1	15%	Body Carve
R.Ludroth Tail		1	70%	Tail Carve
R.Ludroth Scale+	1	28%	Tail Carve
Wyvern Gem		1	2%	Tail Carve
Wyvern Tear		1	38%	Shiny Drops
Large Wyvern Tear	1	37%	Shiny Drops
R.Ludroth Scale+	1	5%	Shiny Drops
Dash Extract		1	20%	Shiny Drops
Spongy Hide+		1	12%	Capture
R.Ludroth Scale+	2	20%	Capture
R.Ludroth Tail		1	18%	Capture
Torrent Sac		1	20%	Capture
R.Ludroth Claw		2	8%	Capture
Dash Extract		2	19%	Capture
Wyvern Gem		1	3%	Capture
R.Ludroth Crest		1	25%	Wound Head
R.Ludroth Crest+	1	55%	Wound Head
R.Ludroth Scale+	1	12%	Wound Head
R.Ludroth Scale		2	8%	Wound Head
Spongy Hide+		1	62%	Wound Mane
Spongy Hide		2	8%	Wound Mane
Dash Extract		2	20%	Wound Mane
R.Ludroth Scale+	2	10%	Wound Mane

☆ Royal Ludroth - MHXX G Rank	
Item			Qty	Prob.	How to obtain
Spongy Piel		1	30%	Body Carve
R.Ludroth Shard		1	25%	Body Carve
R.Ludroth Talon		1	20%	Body Carve
Flood Sac		1	10%	Body Carve
Dash Extract		1	15%	Body Carve
R.Ludroth Lash		1	70%	Tail Carve
R.Ludroth Shard		1	25%	Tail Carve
Lrg Wyvern Gem		1	2%	Tail Carve
Wyvern Gem		1	3%	Tail Carve
Large Wyvern Tear	1	75%	Shiny Drops
R.Ludroth Shard		1	5%	Shiny Drops
Dash Extract		1	20%	Shiny Drops
Spongy Piel		1	12%	Capture
R.Ludroth Shard		2	20%	Capture
R.Ludroth Lash		1	18%	Capture
Flood Sac		1	20%	Capture
R.Ludroth Claw+		2	8%	Capture
Dash Extract		3	19%	Capture
Lrg Wyvern Gem		1	3%	Capture
R.Ludroth Crest+	1	25%	Wound Head
Chic Crest		1	55%	Wound Head
R.Ludroth Shard		1	12%	Wound Head
R.Ludroth Scale+	2	8%	Wound Head
Spongy Piel		1	62%	Wound Mane
Spongy Hide+		2	8%	Wound Mane
Dash Extract		3	20%	Wound Mane
R.Ludroth Shard		2	10%	Wound Mane
