☆ Gore Magala - MHXX Low Rank	
Item			Qty	Prob.	How to obtain
Gore Magala Shell	1	27%	Body Carve
Gore Magala Scale	1	40%	Body Carve
Gore Magala Ripclaw	1	18%	Body Carve
Gore Magala Wing	1	10%	Body Carve
Gore Magala Plate	1	5%	Body Carve
Gore Magala Tail	1	75%	Tail Carve
Gore Magala Plate	1	4%	Tail Carve
Gore Magala Scale	1	21%	Tail Carve
Frenzy Shard		1	75%	Shiny Drops
Gore Magala Scale	1	23%	Shiny Drops
Gore Magala Plate	1	2%	Shiny Drops
Gore Magala Shell	1	37%	Capture
Gore Magala Wing	1	28%	Capture
Gore Magala Feeler	1	15%	Capture
Defiled Scale		1	20%	Capture
Gore Magala Feeler	1	100%	Wound Feelers
Defiled Scale		1	64%	Wound Head
Gore Magala Scale	1	33%	Wound Head
Gore Magala Plate	1	3%	Wound Head
Gore Magala Ripclaw	1	43%	Wound Wingarm
Gore Magala Scale	1	32%	Wound Wingarm
Defiled Scale		1	25%	Wound Wingarm
Gore Magala Wing	1	65%	Wound Wing
Gore Magala Scale	1	35%	Wound Wing

☆ Gore Magala - MHXX High Rank	
Item			Qty	Prob.	How to obtain
Gore Magala Carapace	1	29%	Body Carve
Gore Magala Scale+	1	40%	Body Carve
Gore Magala Ripclaw+	1	18%	Body Carve
Gore Magala Wing+	1	10%	Body Carve
Gore Magala Nyctgem	1	3%	Body Carve
Gore Magala Tail	1	70%	Tail Carve
Gore Magala Plate	1	4%	Tail Carve
Gore Magala Nyctgem	1	2%	Tail Carve
Gore Magala Scale+	1	24%	Tail Carve
Frenzy Shard		1	38%	Shiny Drops
Frenzy Crystal		1	36%	Shiny Drops
Gore Magala Scale+	1	24%	Shiny Drops
Gore Magala Nyctgem	1	2%	Shiny Drops
Gore Magala Carapace	1	37%	Capture
Gore Magala Shell	2	10%	Capture
Gore Magala Wing+	1	28%	Capture
Gore Magala Feeler	2	10%	Capture
Gore Magala Feeler+	1	15%	Capture
Gore Magala Feeler+	1	75%	Wound Feelers
Gore Magala Feeler	1	25%	Wound Feelers
Defiled Scale		1	42%	Wound Head
Gore Magala Scale+	1	35%	Wound Head
Gore Magala Scale	2	15%	Wound Head
Gore Magala Nyctgem	1	2%	Wound Head
Gore Magala Plate	1	6%	Wound Head
Gore Magala Ripclaw+	1	37%	Wound Wingarm
Gore Magala Ripclaw	2	20%	Wound Wingarm
Gore Magala Scale+	1	28%	Wound Wingarm
Defiled Scale		1	15%	Wound Wingarm
Gore Magala Wing+	1	48%	Wound Wing
Gore Magala Wing	1	30%	Wound Wing
Gore Magala Scale+	1	22%	Wound Wing

☆ Gore Magala - MHXX G Rank	
Item			Qty	Prob.	How to obtain
Gore Magala Cortex	1	25%	Body Carve
Gore Magala Shard	1	34%	Body Carve
Gore Magala Scale+	1	8%	Body Carve
Gore Magala Shredder	1	16%	Body Carve
Gore Magala Eclipse	1	10%	Body Carve
Gore Magala Mantle	1	3%	Body Carve
Gore Magala Nyctgem	1	4%	Body Carve
Gore Magala Lash	1	75%	Tail Carve
Gore Magala Nyctgem	1	4%	Tail Carve
Gore Magala Mantle	1	2%	Tail Carve
Gore Magala Shard	1	19%	Tail Carve
Vile Frenzy Crystal	1	74%	Shiny Drops
Gore Magala Shard	1	24%	Shiny Drops
Gore Magala Mantle	1	2%	Shiny Drops
Gore Magala Cortex	1	37%	Capture
Gore Magala Carapace	2	10%	Capture
Gore Magala Eclipse	1	28%	Capture
Gore Magala Feeler+	2	10%	Capture
Gore Magala Sensor	1	15%	Capture
Gore Magala Sensor	1	75%	Wound Feelers
Gore Magala Feeler+	1	25%	Wound Feelers
Defiled Scale		2	32%	Wound Head
Gore Magala Shard	1	45%	Wound Head
Gore Magala Scale+	2	15%	Wound Head
Gore Magala Mantle	1	2%	Wound Head
Gore Magala Nyctgem	1	6%	Wound Head
Gore Magala Shredder	1	50%	Wound Wingarm
Gore Magala Ripclaw+	2	20%	Wound Wingarm
Gore Magala Shard	1	30%	Wound Wingarm
Gore Magala Eclipse	1	48%	Wound Wing
Gore Magala Wing+	1	30%	Wound Wing
Gore Magala Shard	1	22%	Wound Wing
